Date,Description,Amount
10-29-2021,BALANCE FORWARD DEBIT MEMO 04941285 INTERAC E-TRANSFER,-1000
11-01-2021,DEBIT MEMO 15523264 INTERAC E-TRANSFER,-1188.03
11-01-2021,FEDERAL PAYMENT CANADA,904
11-01-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-02-2021,DEBIT MEMO 25489565 INTERAC E-TRANSFER,-350
11-02-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-04-2021,DEBIT MEMO 29350501 INTERAC E-TRANSFER,-1000
11-04-2021,FEDERAL PAYMENT CANADA,6780
11-04-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-05-2021,DEBIT MEMO 59177374 INTERAC E-TRANSFER,-525
11-05-2021,DEBIT MEMO 61803774 INTERAC E-TRANSFER,-1000
11-05-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-05-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-05-2021,TRANSFER TO CR. CARD 59178339 PC-CRD. CARD/LOC PAYMENT,-6000
11-12-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-15-2021,BUSINESS PAD EMPTX 2006100 GOVERNMENT TAX PAYMENTS,-1130
11-15-2021,DEBIT MEMO 90247626 INTERAC E-TRANSFER,-1250
11-15-2021,DEBIT MEMO 90425786 INTERAC E-TRANSFER,-525
11-15-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-15-2021,TRANSFER TO CR. CARD 90457944 PC-CRD.CARD/LOC PAYMENT,-1180.56
11-19-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-22-2021,TRANSFER TO 000000098764251 INVESTMENT PURCHASE,-2000
11-25-2021,TRANSFER TO CR. CARD 17658718 PC-CRD.CARD/LOC PAYMENT,-9350.75
11-30-2021,BALANCE FORWARD DEBIT MEMO 92806157 INTERAC E-TRANSFER,-1250
11-30-2021,INTEREST CREDIT,17.88
11-30-2021,SERVICE CHARGE,-5
12-10-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
12-15-2021,DEBIT MEMO 23842859,-350
12-15-2021,DEBIT MEMO 25380439 INTERAC E-TRANSFER,-175
12-15-2021,FEDERAL PAYMENT CANADA,6780
12-15-2021,INTERAC E-TRANSFER DEBIT MEMO 23844579,-1250
12-15-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
12-15-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
12-17-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
12-21-2021,DEBIT MEMO 60277097 INTERAC E-TRANSFER,-1250
12-21-2021,TRANSFER TO 000000098764251 INVESTMENT PURCHASE,-2000
12-29-2021,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
12-31-2021,BALANCE FORWARD DEBIT MEMO 91033459 INTERAC E-TRANSFER,-1250
12-31-2021,INTEREST CREDIT,15.05
01-04-2022,DEBIT MEMO 20902615 INTERAC E-TRANSFER,-1250
01-04-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
